2026-04-04 20:35:04,760 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:35:04,767 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:36:32,075 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:36:32,081 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:36:32,081 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:37:01,502 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:37:01,511 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:37:01,511 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:37:17,517 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:37:17,525 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:37:17,525 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:37:31,965 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:37:31,971 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:37:31,971 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:38:48,928 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:38:48,939 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:38:48,939 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:39:34,759 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:39:34,764 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:39:34,764 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:40:55,864 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:40:55,874 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:40:55,876 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:44:07,592 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:44:07,603 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:44:07,603 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:46:55,341 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:47:28,508 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:47:28,510 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:47:28,510 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:50:10,514 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:50:10,523 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:50:10,523 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:52:50,978 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:52:50,986 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:52:50,987 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 20:54:54,066 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 20:54:54,093 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 20:54:54,097 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 21:02:45,167 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 21:02:45,177 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 21:02:45,177 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 21:03:44,218 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 21:03:44,223 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 21:03:44,223 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 21:04:09,413 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 21:04:09,423 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 21:04:09,424 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 21:04:27,996 [MCP-SERVER] INFO: Database and schema initialized.
2026-04-04 21:04:28,001 [MCP-SERVER] INFO: Starting MCP server: D:\SamurAI\POC -bubble\talent-match-ai\backend\mcp_layer\mcp_server.py
2026-04-04 21:04:28,001 [MCP-SERVER] WARNING: StdioServerParameters is not recommended. Please use StdioConnectionParams.
2026-04-04 21:05:21,010 [MCP-SERVER] INFO: Database and schema initialized.
